1:{(1,1) ; (5,2) ; (8,3) ; (6,4) ; (3,5) ; (7,6) ; (2,7) ; (7,2)}
2:{(1,1) ; (6,2) ; (8,3) ; (3,4) ; (7,5) ; (4,6) ; (2,7) ; (7,2)}
3:{(1,1) ; (7,2) ; (4,3) ; (6,4) ; (8,5) ; (2,6) ; (5,7) ; (7,5)}
4:{(1,1) ; (7,2) ; (5,3) ; (8,4) ; (2,5) ; (4,6) ; (6,7) ; (7,6)}
5:{(2,1) ; (4,2) ; (6,3) ; (8,4) ; (3,5) ; (1,6) ; (7,7) ; (7,7)}
6:{(2,1) ; (5,2) ; (7,3) ; (1,4) ; (3,5) ; (8,6) ; (6,7) ; (7,6)}
7:{(2,1) ; (5,2) ; (7,3) ; (4,4) ; (1,5) ; (8,6) ; (6,7) ; (7,6)}
8:{(2,1) ; (6,2) ; (1,3) ; (7,4) ; (4,5) ; (8,6) ; (3,7) ; (7,3)}
9:{(2,1) ; (6,2) ; (8,3) ; (3,4) ; (1,5) ; (4,6) ; (7,7) ; (7,7)}
10:{(2,1) ; (7,2) ; (3,3) ; (6,4) ; (8,5) ; (5,6) ; (1,7) ; (7,1)}
11:{(2,1) ; (7,2) ; (5,3) ; (8,4) ; (1,5) ; (4,6) ; (6,7) ; (7,6)}
12:{(2,1) ; (8,2) ; (6,3) ; (1,4) ; (3,5) ; (5,6) ; (7,7) ; (7,7)}
13:{(3,1) ; (1,2) ; (7,3) ; (5,4) ; (8,5) ; (2,6) ; (4,7) ; (7,4)}
14:{(3,1) ; (5,2) ; (2,3) ; (8,4) ; (1,5) ; (7,6) ; (4,7) ; (7,4)}
15:{(3,1) ; (5,2) ; (2,3) ; (8,4) ; (6,5) ; (4,6) ; (7,7) ; (7,7)}
16:{(3,1) ; (5,2) ; (7,3) ; (1,4) ; (4,5) ; (2,6) ; (8,7) ; (7,8)}
17:{(3,1) ; (5,2) ; (8,3) ; (4,4) ; (1,5) ; (7,6) ; (2,7) ; (7,2)}
18:{(3,1) ; (6,2) ; (2,3) ; (5,4) ; (8,5) ; (1,6) ; (7,7) ; (7,7)}
19:{(3,1) ; (6,2) ; (2,3) ; (7,4) ; (1,5) ; (4,6) ; (8,7) ; (7,8)}
20:{(3,1) ; (6,2) ; (2,3) ; (7,4) ; (5,5) ; (1,6) ; (8,7) ; (7,8)}
21:{(3,1) ; (6,2) ; (4,3) ; (1,4) ; (8,5) ; (5,6) ; (7,7) ; (7,7)}
22:{(3,1) ; (6,2) ; (4,3) ; (2,4) ; (8,5) ; (5,6) ; (7,7) ; (7,7)}
23:{(3,1) ; (6,2) ; (8,3) ; (1,4) ; (4,5) ; (7,6) ; (5,7) ; (7,5)}
24:{(3,1) ; (6,2) ; (8,3) ; (1,4) ; (5,5) ; (7,6) ; (2,7) ; (7,2)}
25:{(3,1) ; (6,2) ; (8,3) ; (2,4) ; (4,5) ; (1,6) ; (7,7) ; (7,7)}
26:{(3,1) ; (7,2) ; (2,3) ; (8,4) ; (5,5) ; (1,6) ; (4,7) ; (7,4)}
27:{(3,1) ; (7,2) ; (2,3) ; (8,4) ; (6,5) ; (4,6) ; (1,7) ; (7,1)}
28:{(3,1) ; (8,2) ; (4,3) ; (7,4) ; (1,5) ; (6,6) ; (2,7) ; (7,2)}
29:{(4,1) ; (1,2) ; (5,3) ; (8,4) ; (2,5) ; (7,6) ; (3,7) ; (7,3)}
30:{(4,1) ; (1,2) ; (5,3) ; (8,4) ; (6,5) ; (3,6) ; (7,7) ; (7,7)}
31:{(4,1) ; (2,2) ; (5,3) ; (8,4) ; (6,5) ; (1,6) ; (3,7) ; (7,3)}
