1:{(1,1) ; (3,2) ; (6,3) ; (8,4) ; (10,5) ; (5,6) ; (9,7) ; (2,8) ; (4,9) ; (9,4)}
2:{(1,1) ; (3,2) ; (6,3) ; (9,4) ; (7,5) ; (10,6) ; (4,7) ; (2,8) ; (5,9) ; (9,5)}
3:{(1,1) ; (3,2) ; (6,3) ; (9,4) ; (7,5) ; (10,6) ; (4,7) ; (2,8) ; (8,9) ; (9,8)}
4:{(1,1) ; (3,2) ; (9,3) ; (7,4) ; (10,5) ; (4,6) ; (2,7) ; (5,8) ; (8,9) ; (9,8)}
5:{(1,1) ; (4,2) ; (6,3) ; (9,4) ; (3,5) ; (10,6) ; (8,7) ; (2,8) ; (5,9) ; (9,5)}
6:{(1,1) ; (4,2) ; (7,3) ; (10,4) ; (2,5) ; (9,6) ; (5,7) ; (3,8) ; (8,9) ; (9,8)}
7:{(1,1) ; (4,2) ; (7,3) ; (10,4) ; (3,5) ; (9,6) ; (2,7) ; (5,8) ; (8,9) ; (9,8)}
8:{(1,1) ; (4,2) ; (7,3) ; (10,4) ; (6,5) ; (9,6) ; (2,7) ; (5,8) ; (3,9) ; (9,3)}
9:{(1,1) ; (4,2) ; (7,3) ; (10,4) ; (8,5) ; (2,6) ; (5,7) ; (3,8) ; (6,9) ; (9,6)}
10:{(1,1) ; (4,2) ; (7,3) ; (10,4) ; (8,5) ; (3,6) ; (5,7) ; (9,8) ; (2,9) ; (9,2)}
11:{(1,1) ; (4,2) ; (7,3) ; (10,4) ; (8,5) ; (5,6) ; (2,7) ; (9,8) ; (3,9) ; (9,3)}
12:{(1,1) ; (4,2) ; (9,3) ; (5,4) ; (8,5) ; (10,6) ; (3,7) ; (6,8) ; (2,9) ; (9,2)}
13:{(1,1) ; (4,2) ; (9,3) ; (7,4) ; (2,5) ; (10,6) ; (3,7) ; (6,8) ; (8,9) ; (9,8)}
14:{(1,1) ; (4,2) ; (9,3) ; (7,4) ; (10,5) ; (3,6) ; (6,7) ; (2,8) ; (5,9) ; (9,5)}
15:{(1,1) ; (4,2) ; (10,3) ; (7,4) ; (9,5) ; (3,6) ; (5,7) ; (2,8) ; (8,9) ; (9,8)}
16:{(1,1) ; (5,2) ; (7,3) ; (2,4) ; (10,5) ; (8,6) ; (4,7) ; (9,8) ; (3,9) ; (9,3)}
17:{(1,1) ; (5,2) ; (7,3) ; (10,4) ; (4,5) ; (2,6) ; (9,7) ; (3,8) ; (6,9) ; (9,6)}
18:{(1,1) ; (5,2) ; (8,3) ; (2,4) ; (7,5) ; (10,6) ; (3,7) ; (9,8) ; (6,9) ; (9,6)}
19:{(1,1) ; (5,2) ; (8,3) ; (10,4) ; (3,5) ; (7,6) ; (2,7) ; (4,8) ; (6,9) ; (9,6)}
20:{(1,1) ; (5,2) ; (8,3) ; (10,4) ; (7,5) ; (4,6) ; (2,7) ; (9,8) ; (6,9) ; (9,6)}
21:{(1,1) ; (5,2) ; (10,3) ; (6,4) ; (9,5) ; (2,6) ; (4,7) ; (7,8) ; (3,9) ; (9,3)}
22:{(1,1) ; (6,2) ; (4,3) ; (7,4) ; (10,5) ; (3,6) ; (9,7) ; (2,8) ; (5,9) ; (9,5)}
23:{(1,1) ; (6,2) ; (4,3) ; (7,4) ; (10,5) ; (8,6) ; (2,7) ; (5,8) ; (3,9) ; (9,3)}
24:{(1,1) ; (6,2) ; (4,3) ; (9,4) ; (7,5) ; (3,6) ; (10,7) ; (2,8) ; (5,9) ; (9,5)}
25:{(1,1) ; (6,2) ; (4,3) ; (10,4) ; (7,5) ; (9,6) ; (3,7) ; (5,8) ; (2,9) ; (9,2)}
26:{(1,1) ; (6,2) ; (8,3) ; (2,4) ; (7,5) ; (9,6) ; (3,7) ; (5,8) ; (10,9) ; (9,10)}
27:{(1,1) ; (6,2) ; (8,3) ; (3,4) ; (7,5) ; (9,6) ; (2,7) ; (5,8) ; (10,9) ; (9,10)}
